model,scale_code,train_score,test_score,avg
Linear Regression,00,0.7709910124608831,0.7504592797332756,0.7607251460970794
Linear Regression,ss,-7.925801007369758,-6.058445842396719,-6.992123424883239
Linear Regression,mm,0.770991012460883,0.7504592797321825,0.7607251460965327
Lasso,00,0.7497690696701036,0.7373260984684792,0.7435475840692913
Lasso,ss,0.7618500645416633,0.7480226748304022,0.7549363696860327
Lasso,mm,0.7048089924380773,0.6885592334335175,0.6966841129357975
Ridge,00,0.7709904813633349,0.7504366208807307,0.7607135511220329
Ridge,ss,0.7709910122560398,0.7504601070009816,0.7607255596285107
Ridge,mm,0.7709372951915031,0.7502839942897375,0.7606106447406202
ElasticNet,00,0.7590484864711112,0.7461444343257047,0.7525964603984079
ElasticNet,ss,0.7665346352587536,0.751175050542052,0.7588548429004028
ElasticNet,mm,0.7106640964845858,0.6930407944682564,0.7018524454764211
LogisticRegression,00,0.8559577677224736,0.8438914027149321,0.8499245852187028
LogisticRegression,ss,0.9929612870789342,0.9856711915535445,0.9893162393162394
LogisticRegression,mm,0.991955756661639,0.9856711915535445,0.9888134741075918
DecisionTree,00,1.0,0.9856711915535445,0.9928355957767723
DecisionTree,ss,1.0,0.9849170437405732,0.9924585218702866
DecisionTree,mm,1.0,0.9834087481146304,0.9917043740573153
RandomForest,00,1.0,0.9796380090497737,0.9898190045248869
RandomForest,ss,1.0,0.978129713423831,0.9890648567119156
RandomForest,mm,1.0,0.9796380090497737,0.9898190045248869
KNN,00,0.8293112116641529,0.808446455505279,0.8188788335847159
KNN,ss,0.9731020613373554,0.9728506787330317,0.9729763700351935
KNN,mm,0.991955756661639,0.9856711915535445,0.9888134741075918
SVC,ss,0.9924585218702866,0.9864253393665159,0.9894419306184012
SVC,mm,0.991955756661639,0.9856711915535445,0.9888134741075918
